depth,months,shape,bond,dd,dd_bh,ret,ret_bh,w,гистерезис 2%,подтверждение 2 мес,стоп −15%,стоп −20%,depth_real
-0.5,1,front,fall,-26.51436940616472,-65.34539302898429,3.315896669313023,-42.35619977358097,0.0002548402436299206,-28.887017611961785,-28.59855149067746,-19.702483107278116,-23.16479944800684,-0.6
-0.5,1,linear,rally,-16.542414870485434,-62.54970113392186,43.33247055726892,-39.643736566473095,0.0018566932035894216,-15.636931602014135,-15.636931602014135,-16.33917475410329,-16.971408188376447,-0.6
-0.5,1,linear,flat,-20.843104690046044,-55.777479497104295,11.622582892324562,-8.542093076416446,0.004041038148988742,-20.2427001876548,-24.026477319813267,-19.1713381672168,-22.391978298043803,-0.6
-0.5,1,linear,fall,-57.69270680127108,-70.04157968773555,-54.026198062679455,-65.75538460920545,0.0007645207308897619,-55.374410989123376,-55.25130093977933,-41.84742220821873,-43.00694005538313,-0.6
-0.5,1,back,rally,-55.63147241319619,-53.98321905842677,-29.923396342335483,-4.677887597197861,0.0014110868347279603,-56.06514002638603,-56.03698480384044,-37.76626453026473,-39.14693556105115,-0.5
-0.5,1,back,flat,-61.0997470205918,-63.13109177629935,-16.128130535280427,-19.541792995250805,0.005118648322052406,-59.39063837328655,-54.87084417513033,-41.14836596366131,-43.60637395682113,-0.6
-0.5,1,back,fall,-63.23609576570666,-68.54199801789478,-46.26043148031981,-38.12304557033759,0.0009683929257936983,-63.09903900605478,-62.18359234687802,-42.77438014788317,-45.0856239132066,-0.6
-0.5,1,saw,rally,-20.7793814756864,-55.41039002853062,103.8565361531004,5.9038514392264485,0.0028469295788371126,-24.42000468666341,-18.054327253334755,-19.84867384300629,-20.95192011367392,-0.6
-0.5,1,saw,flat,-25.73580448182588,-49.67372638815348,-16.963320057673915,-22.24428188985842,0.003717755097069642,-18.479139196241423,-15.118390371859691,-18.916354268691997,-22.19377953186522,-0.5
-0.5,1,saw,fall,-54.38529732936021,-52.84259154812175,-24.19343807124512,-33.99241986407695,0.0007033590724185809,-54.392400172697286,-54.62926674547277,-39.19616449504255,-41.50487070308516,-0.5
-0.5,3,front,rally,-20.98766207620644,-69.87688220822741,-6.241203273971374,-61.93757736598941,0.0006188977345298071,-16.902438500109483,-11.420340163504171,-18.778734962065247,-20.61302099496194,-0.6
-0.5,3,front,flat,-39.32442772320661,-58.739244101611646,45.44772022611474,13.947415836379683,0.0013470127163295804,-38.47951202649803,-40.368441924173545,-26.779968474343,-29.06366954800824,-0.6
