,nav
1996-04-29,340856234.41800845
1996-04-30,338909226.83070785
1996-05-01,339139550.31266814
1996-05-02,333129529.497145
1996-05-03,332636113.19512355
1996-05-06,332304519.970218
1996-05-07,330918565.6639153
1996-05-08,335049060.85338074
1996-05-09,334798637.83766836
1996-05-10,338117957.4518886
1996-05-13,343221712.70853823
1996-05-14,345323619.56924975
1996-05-15,344910806.8514693
1996-05-16,345633886.7421923
1996-05-17,347492671.2379932
1996-05-20,349838054.59044087
1996-05-21,349344120.85888684
1996-05-22,352662805.2928174
1996-05-23,351195404.09977585
1996-05-24,352567132.48817575
1996-05-28,348955067.8658827
1996-05-29,346595276.5529154
1996-05-30,348372764.7620533
1996-05-31,345769646.4241783
1996-06-03,346735983.2251043
1996-06-04,349162378.56971663
1996-06-05,352237773.72890985
1996-06-06,349634537.6646683
1996-06-07,349627281.4259785
1996-06-10,348484334.80061734
1996-06-11,348152672.48176783
1996-06-12,347496424.5812965
1996-06-13,347489205.5738871
1996-06-14,346021741.60775995
1996-06-17,345771216.0886646
1996-06-18,342924660.7538761
1996-06-19,344459027.6651299
1996-06-20,344208491.285847
1996-06-21,347175058.5004793
1996-06-24,347820235.17238355
1996-06-25,347405092.4967943
1996-06-26,345032982.91171753
1996-06-27,347472464.57756066
1996-06-28,348688481.9628644
1996-07-01,351698369.255113
1996-07-02,350386270.9840548
1996-07-03,349645082.71590537
1996-07-05,340667175.50144064
1996-07-08,339273572.13064045
1996-07-09,340652974.64156616
1996-07-10,342032218.5068955
1996-07-11,335093019.68513644
1996-07-12,335330543.4333042
1996-07-15,325374424.6860109
1996-07-16,326183052.7831952
1996-07-17,330090830.59417886
1996-07-18,334650566.86342746
1996-07-19,332197128.68863416
1996-07-22,329743537.8711773
1996-07-23,325495896.44411665
1996-07-24,326141600.8915389
1996-07-25,329070682.6212603
1996-07-26,330857744.03652316
1996-07-29,327181051.58599985
1996-07-30,330354801.29357135
1996-07-31,332794431.8657465
1996-08-01,338332951.35708636
1996-08-02,345665525.58342344
1996-08-05,343619497.32008016
1996-08-06,344672442.36658156
1996-08-07,345562489.1942845
1996-08-08,344984174.5713109
1996-08-09,343835188.2606837
1996-08-12,346356204.20892817
1996-08-13,343576164.70459396
1996-08-14,344792311.6866037
1996-08-15,344132679.84462345
1996-08-16,347061188.09494257
1996-08-19,347217251.2388071
1996-08-20,346965272.88833654
1996-08-21,345734614.10830176
1996-08-22,348989503.85122466
1996-08-23,347106333.44119585
1996-08-26,345386636.04215956
1996-08-27,346649420.12080973
1996-08-28,346071150.7725281
1996-08-29,342638650.5438888
1996-08-30,339043336.77121633
1996-09-03,341237922.321092
1996-09-04,341557109.2324877
1996-09-05,337390496.25400394
1996-09-06,342195048.21193814
1996-09-09,346265318.97956103
1996-09-10,346095009.2716457
1996-09-11,348045014.57027656
1996-09-12,350484241.80213517
1996-09-13,355859415.7218228
1996-09-16,357156597.1443818
1996-09-17,356333560.21106654
1996-09-18,355429052.2152861
1996-09-19,356807753.9628908
1996-09-20,358073203.4659774
1996-09-23,357983767.7141199
1996-09-24,357894308.12325543
1996-09-25,358132600.0933084
1996-09-26,357961160.8329715
1996-09-27,358281469.72534955
1996-09-30,357946082.6307039
1996-10-01,359905935.994666
1996-10-02,363208969.7602611
1996-10-03,362863238.30378574
1996-10-04,371162326.00925285
1996-10-07,370330480.1458778
1996-10-08,368835075.8872428
1996-10-09,365406485.4838019
1996-10-10,363032948.08281344
1996-10-11,369146489.65247196
1996-10-14,369551345.91640985
1996-10-15,368969481.0240224
1996-10-16,370482882.55829704
1996-10-17,373071755.53387594
1996-10-18,375289313.61144686
1996-10-21,374369556.9820781
1996-10-22,370648046.56063867
1996-10-23,371857727.4987904
1996-10-24,368370873.284593
1996-10-25,369490226.81509477
1996-10-28,366603796.7797531
1996-10-29,373887463.2920504
1996-10-30,372637205.02670765
1996-10-31,376952323.7478505
1996-11-01,375349692.93299854
1996-11-04,378457189.8476207
1996-11-05,382735990.4884759
1996-11-06,389357704.12028587
1996-11-07,391363880.9193939
1996-11-08,392630405.6365336
1996-11-11,392131958.02852124
1996-11-12,393983287.8100558
1996-11-13,395384579.1301456
1996-11-14,399358361.12805253
1996-11-15,398666785.68347764
1996-11-18,398568224.1141926
1996-11-19,402204875.20615387
1996-11-20,403709904.0227838
1996-11-21,402821584.93121034
1996-11-22,405830745.46032614
1996-11-25,411461867.7567106
1996-11-26,410125889.6016004
1996-11-27,409063988.99240196
1996-11-29,412991162.0916481
1996-12-02,412662260.3508856
1996-12-03,406190340.9313922
1996-12-04,405772461.9722937
1996-12-05,401361775.3494662
1996-12-06,397762604.9998598
1996-12-09,405323389.7501922
1996-12-10,402747919.7436494
1996-12-11,394522216.07978404
1996-12-12,387208944.848558
1996-12-13,390231053.3856523
1996-12-16,383525402.7542366
1996-12-17,385779373.3530085
1996-12-18,387745619.5749347
1996-12-19,398608845.82415575
1996-12-20,399744419.61291283
1996-12-23,399153894.1192888
1996-12-24,401453349.87272716
1996-12-26,404851883.4846939
1996-12-27,406771168.55646193
1996-12-30,403104353.241223
1996-12-31,392231916.64527786
1997-01-02,390132002.3108359
1997-01-03,396312576.70425695
1997-01-06,392381444.58213925
1997-01-07,396304574.6781108
1997-01-08,391947708.03397906
1997-01-09,397535176.26482743
1997-01-10,398687202.59944654
1997-01-13,398229021.91124773
1997-01-14,406131324.9161595
1997-01-15,405115398.00800323
1997-01-16,405606663.8944358
1997-01-17,408354822.82053626
1997-01-20,408748571.0094792
1997-01-21,413443705.1142162
1997-01-22,415219137.16413283
1997-01-23,408218009.98396844
1997-01-24,401713919.6100683
1997-01-27,399204068.3638499
1997-01-28,401824363.7319674
1997-01-29,406072305.28759694
1997-01-30,411941262.33842164
1997-01-31,413798851.7154508
1997-02-03,416945497.3969593
1997-02-04,420082274.60832083
1997-02-05,411574261.43707764
1997-02-06,413671559.32777065
1997-02-07,421119815.4944216
1997-02-10,417269100.23853153
1997-02-11,422047896.46517396
1997-02-12,429211835.78208506
1997-02-13,435974298.2210914
1997-02-14,436226875.3117536
1997-02-18,440069505.9554739
1997-02-19,436507825.6387948
1997-02-20,428719519.46379197
1997-02-21,429500807.63484037
1997-02-24,433721353.2343994
1997-02-25,433624165.4672591
1997-02-26,424341655.63378435
1997-02-27,417320392.29002273
1997-02-28,416669691.9892742
1997-03-03,418997768.36451465
1997-03-04,416039627.53840417
1997-03-05,423136159.11313474
1997-03-06,420012817.81170064
1997-03-07,425338974.24553555
1997-03-10,430246383.48283744
1997-03-11,427596585.00299054
1997-03-12,422841403.9821717
1997-03-13,412521104.97474
1997-03-14,414939937.5773914
1997-03-17,415929486.6480246
1997-03-18,411351947.93918633
1997-03-19,409326797.26782674
1997-03-20,406852229.667855
1997-03-21,409046476.8460938
1997-03-24,415585439.5459928
1997-03-25,410513457.6954159
1997-03-26,410835975.4168444
1997-03-27,396717664.1854107
1997-03-31,387967537.1991726
1997-04-01,391009881.35394424
1997-04-02,384553414.85084635
1997-04-03,387171681.4559014
1997-04-04,390338053.0310811
1997-04-07,393371308.3272333
1997-04-08,395072736.17032975
1997-04-09,391834033.17198014
1997-04-10,390365968.2153386
1997-04-11,376031261.1723255
1997-04-14,381231684.6544603
1997-04-15,390493677.88508534
1997-04-16,394433348.5636486
1997-04-17,393905042.189534
1997-04-18,396367459.4850294
1997-04-21,393063556.74531233
1997-04-22,402508764.58596325
1997-04-23,401474557.4677061
1997-04-24,398308807.7483756
1997-04-25,393416619.4178355
1997-04-28,397979545.01235867
1997-04-29,414802316.3804979
1997-04-30,418195947.5723429
1997-05-01,418586762.8236514
1997-05-02,426270034.1526388
1997-05-05,436688275.13903886
1997-05-06,436344478.0266468
1997-05-07,424229954.1600945
1997-05-08,428339174.9586002
1997-05-09,432756928.3916828
