,nav
1999-10-06,664296770.5014374
1999-10-07,660515571.2013847
1999-10-08,670548876.7796075
1999-10-11,669436692.9189954
1999-10-12,659061804.1927892
1999-10-13,641937095.1708838
1999-10-14,641767257.6150585
1999-10-15,625270829.7254289
1999-10-18,629810435.5254894
1999-10-19,635920058.0993766
1999-10-20,642186360.744601
1999-10-21,645940317.7546567
1999-10-22,651421426.1765088
1999-10-25,648111579.0595626
1999-10-26,639935066.3449808
1999-10-27,651538529.8477628
1999-10-28,673816819.334411
1999-10-29,686047554.6445326
1999-11-01,678812323.5296091
1999-11-02,673931854.534961
1999-11-03,678470763.4469303
1999-11-04,683636980.2174037
1999-11-05,690373263.362123
1999-11-08,690987033.7134345
1999-11-09,684458062.2493877
1999-11-10,689545646.2485149
1999-11-11,693456271.2162902
1999-11-12,699721192.6573787
1999-11-15,701355414.9494215
1999-11-16,707227883.621253
1999-11-17,709096945.9510006
1999-11-18,714105953.3525897
1999-11-19,713463386.3656522
1999-11-22,713291729.0301791
1999-11-23,706997817.462786
1999-11-24,710679692.8624066
1999-11-26,707996328.8689884
1999-11-29,705469938.1102138
1999-11-30,697135686.2050167
1999-12-01,702772468.5808048
1999-12-02,706996559.6428293
1999-12-03,720011288.1403455
1999-12-06,714659311.3154941
1999-12-07,708835990.433743
1999-12-08,704268983.042114
1999-12-09,707707971.392802
1999-12-10,710048463.1217322
1999-12-13,711289195.1847547
1999-12-14,704367670.9719654
1999-12-15,708120365.6282135
1999-12-16,711245274.4104086
1999-12-17,715815747.4085197
1999-12-20,710607787.4468791
1999-12-21,721451390.0467988
1999-12-22,723324987.6038662
1999-12-23,734876735.8169236
1999-12-27,733838612.9174285
1999-12-28,733350759.9187707
1999-12-29,736483391.1288767
1999-12-30,735602359.6695601
1999-12-31,736767652.0194427
2000-01-03,729513059.9856575
2000-01-04,700857325.0894287
2000-01-05,702101839.3078791
2000-01-06,690756750.2598112
2000-01-07,731028475.5392984
2000-01-10,733531087.5102156
2000-01-11,724703315.127835
2000-01-12,717449241.8656847
2000-01-13,727190897.1185603
2000-01-14,737090135.650446
2000-01-18,731252293.7742678
2000-01-19,737217182.6129519
2000-01-20,725871480.7347447
2000-01-21,724282800.0528282
2000-01-24,703652486.4682218
2000-01-25,711663247.8882058
2000-01-26,705983528.397794
2000-01-27,703136270.3190185
2000-01-28,681090045.4608494
2000-01-31,699644910.8723183
2000-02-01,706554613.6657162
2000-02-02,707169209.6425873
2000-02-03,717855541.8656595
2000-02-04,714850543.5187725
2000-02-07,713734023.4376726
2000-02-08,723476212.0130308
2000-02-09,708196525.2209386
2000-02-10,709598075.4026598
2000-02-11,695105055.8958023
2000-02-14,699181984.9619181
2000-02-15,707114939.4531196
2000-02-16,696634633.7127935
2000-02-17,693000909.7008269
2000-02-18,678036376.2000904
2000-02-22,676290941.1352774
2000-02-23,684302452.6234663
2000-02-24,670371066.3354393
2000-02-25,667917422.111239
2000-02-28,681988078.3749053
2000-02-29,688583333.9650599
2000-03-01,693604867.347643
2000-03-02,694061964.0129085
2000-03-03,707108622.7612108
2000-03-06,700169664.4601675
2000-03-07,686542789.2252332
2000-03-08,685662563.4982228
2000-03-09,705791229.9558951
2000-03-10,701999276.6112605
2000-03-13,694273874.5096688
2000-03-14,684345009.8042271
2000-03-15,700381836.4064916
2000-03-16,733256753.4503934
2000-03-17,738112060.6887707
2000-03-20,734309985.7638328
2000-03-21,749440349.1764952
2000-03-22,754000132.0531117
2000-03-23,766920997.2719903
2000-03-24,771480303.6954598
2000-03-27,763259778.9570194
2000-03-28,758826431.390245
2000-03-29,759599292.8641262
2000-03-30,746804104.5743636
2000-03-31,755307436.9602407
